number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
67,0.9424322527681053,2024-06-07 17:33:11.633250,2024-06-07 17:33:13.863792,0 days 00:00:02.230542,0.00012238377904649268,0.09099194954618511,10,5,177,COMPLETE
68,0.8812820722592131,2024-06-07 17:33:11.669801,2024-06-07 17:33:12.828881,0 days 00:00:01.159080,0.003380455023875011,0.16228299445780545,3,3,202,COMPLETE
69,0.9093344324437644,2024-06-07 17:33:11.731635,2024-06-07 17:33:13.100156,0 days 00:00:01.368521,0.0013933380982265819,0.08627467615264833,4,3,175,COMPLETE
70,0.8162814503584132,2024-06-07 17:33:11.979972,2024-06-07 17:33:13.674300,0 days 00:00:01.694328,0.044932198073768206,0.012519650650604064,4,3,175,COMPLETE
71,0.8415264683229339,2024-06-07 17:33:12.042791,2024-06-07 17:33:13.039320,0 days 00:00:00.996529,0.04624094309064751,0.129287701819805,10,3,198,COMPLETE
72,0.8429682532585909,2024-06-07 17:33:12.414302,2024-06-07 17:33:13.413319,0 days 00:00:00.999017,0.04515720009824736,0.09296979811390112,10,3,198,COMPLETE
73,0.8410685894116725,2024-06-07 17:33:12.462177,2024-06-07 17:33:13.447227,0 days 00:00:00.985050,0.04568539313405807,0.10364801943552854,10,5,178,COMPLETE
74,0.7392112094903167,2024-06-07 17:33:12.546950,2024-06-07 17:33:13.408332,0 days 00:00:00.861382,0.21991078425988353,0.08498585162497427,10,3,199,COMPLETE
75,0.736434696664681,2024-06-07 17:33:12.829881,2024-06-07 17:33:13.702225,0 days 00:00:00.872344,0.23560877503966335,0.09262652396653248,10,5,178,COMPLETE
76,0.7463019995732088,2024-06-07 17:33:13.042311,2024-06-07 17:33:14.020374,0 days 00:00:00.978063,0.23383060501531527,0.270131749611245,10,5,179,COMPLETE
77,0.7513471779211618,2024-06-07 17:33:13.103148,2024-06-07 17:33:14.172897,0 days 00:00:01.069749,0.16089659291771782,0.02684409927013795,2,5,178,COMPLETE
78,0.8115193681833953,2024-06-07 17:33:13.410326,2024-06-07 17:33:14.475089,0 days 00:00:01.064763,0.039003879020787044,0.2943637647942181,2,5,221,COMPLETE
79,0.8652028841068788,2024-06-07 17:33:13.415314,2024-06-07 17:33:14.469105,0 days 00:00:01.053791,0.026814975487214607,0.2705935182569647,10,5,219,COMPLETE
80,0.9327181973273966,2024-06-07 17:33:13.451217,2024-06-07 17:33:14.683226,0 days 00:00:01.232009,0.00022632012960136302,0.2908752078227404,6,5,219,COMPLETE
81,0.9167376317072733,2024-06-07 17:33:13.676294,2024-06-07 17:33:14.984422,0 days 00:00:01.308128,0.0020767468437038693,0.2683067987506326,6,5,268,COMPLETE
82,0.802480987058654,2024-06-07 17:33:13.706214,2024-06-07 17:33:14.697188,0 days 00:00:00.990974,0.09770584709843184,0.29265220232033623,6,5,219,COMPLETE
